x,y,fid,id,tsevent_id,year,month,day,date_strin,arr_day,arr_hour,arr_min,trav_hours,trav_mins,period,first_moti,latitude,longitude,location,location_n,area,country,region_cod,runup_ht,runup_ht_r,runup_hori,type_measu,type_mea_1,damage_mil,damage_amo,damage_des,deaths,deaths_amo,deaths_des,injuries,injuries_a,injuries_d,houses_des,houses_amo,houses_d_1,houses_dam,houses_d_2,houses_d_3,comments,doubtful,dist_from,event_regi,event_re_1,pred_trav,pred_trav1,url,tsevent_ur,hour,minute,second,region,cause_code,cause,event_vali,event_va_1,eq_mag_unk,eq_mag_mb,eq_mag_ms,eq_mag_mw,eq_mag_ml,eq_mag_mfa,eq_magnitu,eq_magni_1,eq_depth,max_event,ts_mt_abe,ts_mt_ii,ts_intensi,missing,missing_am,missing_de,warning_st,num_runup,id_runup,has_ref,id_ref,slides_url,num_slides,map_slide,map_eq_id,damage_m_1,damage_a_1,damage_tot,houses_d_4,houses_a_1,houses_tot,deaths_tot,deaths_a_1,deaths_t_1,injuries_t,injuries_1,injuries_2,missing_to,missing_1,missing_2,map_vol_id,houses_d_5,houses_d_6,houses_d_7,num_deposi
95.247,5.283,4001,15817,2439,2004,12,26,2004/12/26,0,0,0,0,0,0,,5.283,95.247,POINT(95.247 5.283),"ACEH, SUMATRA",ACEH,INDONESIA,60,25.5,5,0,5,"Runup height, post-tsunami survey measurement",0,0,,0,0,,0,0,,0,0,,0,0,,,,229,60,Indian Ocean (including west coast of Australia),0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=15817","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2439",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
95.242,5.355,4002,15818,2439,2004,12,26,2004/12/26,0,0,0,0,0,0,,5.355,95.242,POINT(95.242 5.355),"ACEH, SUMATRA",ACEH,INDONESIA,60,25.6,5,0,5,"Runup height, post-tsunami survey measurement",0,0,,0,0,,0,0,,0,0,,0,0,,,,237,60,Indian Ocean (including west coast of Australia),0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=15818","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2439",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
95.367,5.593,4011,15960,2439,2004,12,26,2004/12/26,0,0,0,0,0,0,,5.593,95.367,POINT(95.367 5.593),"ACEH, SUMATRA",ACEH,INDONESIA,60,10.6,5,0,5,"Runup height, post-tsunami survey measurement",0,0,,0,0,,0,0,,0,0,,0,0,,,,259,60,Indian Ocean (including west coast of Australia),0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=15960","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2439",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
96.129,4.129,4101,25270,5449,2012,4,11,2012/04/11,11,9,55,1,17,7,,4.129,96.129,POINT(96.129 4.129),"MEULABOH PORT, SUMATRA",ACEH,INDONESIA,60,1.08,2,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"station, arrival time, zero-to-peak, peak-to-peak, period, measurement time.
<BR>
Meulaboh_ID            4.1275 096.1319    09:55  4/11   1.077   1.201   07:00    10:04  04/11
<BR>(reference #9797)",,395,60,Indian Ocean (including west coast of Australia),0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=25270","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=5449",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-157.867,21.3,8001,1201,1075,1877,5,10,1877/05/10,10,15,23,14,24,20,F,21.3,-157.867,POINT(-157.867 21.3),"HONOLULU, OAHU, HI",HI,USA,80,1.45,2,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"The peak rise of water was 0.7 m. At Honolulu at 5:20 on may 10th it was noted on the pier that the water was leaving the bay with great speed. According to estimates, the level fell 52 cm (21 inches) in 5 minutes. The water returned at 6:00, and the lev",,10606,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=1201","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1075",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-79.0288,-8.112,6001,29557,194,1586,7,10,1586/07/10,0,0,0,0,0,0,,-8.112,-79.0288,POINT(-79.0288 -8.112),TRUJILLO,,PERU,89,0,0,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,488,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=29557","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=194",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-170.689,-14.2766,6002,4670,1963,1965,1,24,1965/01/24,0,0,0,0,0,0,,-14.2766,-170.689,POINT(-170.689 -14.2766),"PAGO PAGO, AMERICAN SAMOA",AS,USA TERRITORY,81,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,"<P><blockquote><i>Reference #236:</blockquote></i>
<P>Doubtful report.",?,7059,83,Indonesia (Pacific Ocean) and Malaysia,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=4670","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1963",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-170.689,-14.2766,6003,4679,1964,1965,2,4,1965/02/04,0,0,0,0,0,0,,-14.2766,-170.689,POINT(-170.689 -14.2766),"PAGO PAGO, AMERICAN SAMOA",AS,USA TERRITORY,81,0.1,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,7367,87,Alaska (including Aleutian Islands),0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=4679","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1964",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-79.88,-6.85,6004,4122,1907,1960,11,20,1960/11/20,0,0,0,0,0,0,,-6.85,-79.88,POINT(-79.88 -6.85),PIMENTEL,,PERU,89,9,4,0,0,,0,1,Limited (<$1 million),0,0,,0,0,,0,0,,0,0,,"Several hours later, a tsunami fell on the coast of Lambayeque department. The first wave about 9 m high did material damage at Puerto Eten and Pimentel ports and in Santa Rosa and San Jose Bays; three persons died. The first was followed by two others o",,91,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=4122","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1907",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-85.867,11.25,6005,6035,2213,1992,9,2,1992/09/02,0,0,0,0,0,0,,11.25,-85.867,POINT(-85.867 11.25),SAN JUAN DEL SUR,,NICARAGUA,88,5,4,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,170,88,West Coast of North and Central America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=6035","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2213",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
